Type,id,Lat,Lon,Alt,Speed/Weight,Radius
P,0,32.10526801,35.21085983,0.0,1.0,1.0
P,1,32.10225369,35.20311757,0.0,1.0,1.0
P,2,32.10513241,35.21073173,0.0,1.0,1.0
P,3,32.10212332,35.2119327,0.0,1.0,1.0
P,4,32.10243483159319,35.20918387602932,-2.796761691570282E-6,1.0,1.0
P,5,32.105335625427884,35.20320260401172,-4.563480615615845E-6,1.0,1.0
P,6,32.10289036720073,35.20847621661653,-3.857538104057312E-6,1.0,1.0
P,7,32.10289896446019,35.2048778233616,-3.7224963307380676E-6,1.0,1.0
P,8,32.10487688,35.20935462,0.0,1.0,1.0
P,9,32.10388091324597,35.21080860801877,-7.101334631443024E-6,1.0,1.0
P,10,32.10239971,35.21138826,0.0,1.0,1.0
P,11,32.10241015,35.20347786,0.0,1.0,1.0
P,12,32.104783,35.20973893,0.0,1.0,1.0
P,13,32.10531494,35.20998713,0.0,1.0,1.0
