Type,id,Lat,Lon,Alt,Speed/Weight,Radius
P,0,32.10526801,35.21085983,0.0,1.0,1.0
P,1,32.10225369,35.20311757,0.0,1.0,1.0
P,2,32.10513241,35.21073173,0.0,1.0,1.0
P,3,32.10212332,35.2119327,0.0,1.0,1.0
P,4,32.10243483159319,35.20918387602932,-2.796761691570282E-6,1.0,1.0
P,5,32.104460749931754,35.20678161338597,-2.888031303882599E-6,1.0,1.0
P,6,32.10289036720073,35.20847621661653,-3.857538104057312E-6,1.0,1.0
P,7,32.1031913812072,35.20585877622767,-3.010965883731842E-6,1.0,1.0
P,8,32.10487688,35.20935462,0.0,1.0,1.0
P,9,32.10497596,35.21015526,0.0,1.0,1.0
P,10,32.10239971,35.21138826,0.0,1.0,1.0
P,11,32.10241015,35.20347786,0.0,1.0,1.0
P,12,32.104783,35.20973893,0.0,1.0,1.0
P,13,32.10531494,35.20998713,0.0,1.0,1.0
F,5,32.10493946,35.20595987,0.0,1.0
F,14,32.10290036,35.20487099,0.0,1.0
F,15,32.10274391,35.20560759,0.0,1.0
F,43,32.10387558,35.21081179,0.0,1.0
F,54,32.10472564,35.20338179,0.0,1.0
F,55,32.10462655,35.20279731,0.0,1.0
F,56,32.10534102,35.20320564,0.0,1.0
